epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,841.212,0.47938,0.27804,0.75313,0.63802,0.96079,0.82071,0.78569,0.32204,2.55572,0.73312,0.00353914,0.00117971,0.00353914,0.00117971,0.00353914,0.00117971,0.00353914,0.00117971
31,869.53,0.47527,0.27549,0.75243,0.64086,0.96463,0.82652,0.78146,0.35649,2.56214,0.73041,0.00345429,0.00115143,0.00345429,0.00115143,0.00345429,0.00115143,0.00345429,0.00115143
32,897.269,0.48384,0.28145,0.75486,0.62575,0.97563,0.79824,0.7498,0.37307,2.54189,0.73243,0.00336943,0.00112314,0.00336943,0.00112314,0.00336943,0.00112314,0.00336943,0.00112314
33,924.975,0.46857,0.27351,0.75266,0.63747,0.95354,0.82627,0.77872,0.3846,2.65937,0.73014,0.00328457,0.00109486,0.00328457,0.00109486,0.00328457,0.00109486,0.00328457,0.00109486
34,952.778,0.47357,0.27433,0.75171,0.63829,0.96349,0.80512,0.77324,0.3349,2.59379,0.73382,0.00319971,0.00106657,0.00319971,0.00106657,0.00319971,0.00106657,0.00319971,0.00106657
35,980.754,0.45912,0.2678,0.75187,0.63039,0.97371,0.77684,0.73637,0.34837,2.62049,0.73315,0.00311486,0.00103829,0.00311486,0.00103829,0.00311486,0.00103829,0.00311486,0.00103829
36,1008.43,0.4545,0.26753,0.75135,0.63262,0.96795,0.76282,0.73608,0.32552,2.59253,0.73266,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
37,1036.36,0.4484,0.26456,0.75129,0.63414,0.96245,0.80376,0.7668,0.34821,2.61831,0.73135,0.00294514,0.000981714,0.00294514,0.000981714,0.00294514,0.000981714,0.00294514,0.000981714
38,1064.29,0.44816,0.26621,0.75019,0.63445,0.94996,0.82373,0.80126,0.30945,2.61539,0.72972,0.00286029,0.000953429,0.00286029,0.000953429,0.00286029,0.000953429,0.00286029,0.000953429
39,1092.43,0.4401,0.26337,0.75071,0.63662,0.96166,0.80829,0.77367,0.32674,2.62339,0.72971,0.00277543,0.000925143,0.00277543,0.000925143,0.00277543,0.000925143,0.00277543,0.000925143
40,1120.15,0.43544,0.25736,0.75041,0.63828,0.94777,0.83145,0.8036,0.31093,2.57743,0.72913,0.00269057,0.000896857,0.00269057,0.000896857,0.00269057,0.000896857,0.00269057,0.000896857
41,1147.92,0.42105,0.25233,0.74958,0.63834,0.95729,0.8347,0.80401,0.3157,2.63662,0.72889,0.00260571,0.000868571,0.00260571,0.000868571,0.00260571,0.000868571,0.00260571,0.000868571
42,1175.83,0.42997,0.25467,0.7499,0.63661,0.96162,0.82236,0.78583,0.32478,2.63927,0.72938,0.00252086,0.000840286,0.00252086,0.000840286,0.00252086,0.000840286,0.00252086,0.000840286
43,1203.59,0.42124,0.251,0.75064,0.64206,0.97127,0.83761,0.80941,0.29097,2.6196,0.72999,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
44,1231.3,0.42108,0.25199,0.75049,0.63719,0.9599,0.83593,0.81359,0.28835,2.63163,0.72954,0.00235114,0.000783714,0.00235114,0.000783714,0.00235114,0.000783714,0.00235114,0.000783714
45,1259.3,0.41724,0.24883,0.74958,0.64129,0.96786,0.83809,0.80571,0.30768,2.6529,0.73083,0.00226629,0.000755429,0.00226629,0.000755429,0.00226629,0.000755429,0.00226629,0.000755429
46,1287.04,0.40289,0.24342,0.75132,0.63896,0.96332,0.83493,0.81189,0.30544,2.70709,0.73306,0.00218143,0.000727143,0.00218143,0.000727143,0.00218143,0.000727143,0.00218143,0.000727143
47,1314.71,0.40983,0.24744,0.74813,0.63972,0.96672,0.81793,0.7999,0.28094,2.6631,0.72954,0.00209657,0.000698857,0.00209657,0.000698857,0.00209657,0.000698857,0.00209657,0.000698857
48,1342.35,0.40545,0.24465,0.74978,0.63926,0.97099,0.81611,0.78961,0.27555,2.67426,0.7304,0.00201171,0.000670571,0.00201171,0.000670571,0.00201171,0.000670571,0.00201171,0.000670571
49,1370.52,0.40017,0.2415,0.74926,0.64008,0.96402,0.83216,0.79711,0.31806,2.65276,0.72833,0.00192686,0.000642286,0.00192686,0.000642286,0.00192686,0.000642286,0.00192686,0.000642286
50,1398.38,0.39244,0.23903,0.74836,0.63632,0.96917,0.80947,0.78823,0.27075,2.6417,0.72748,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
51,1426.09,0.39489,0.23919,0.74829,0.64014,0.95857,0.84263,0.82253,0.27034,2.637,0.72857,0.00175714,0.000585714,0.00175714,0.000585714,0.00175714,0.000585714,0.00175714,0.000585714
52,1454.1,0.38913,0.23674,0.74825,0.64055,0.97069,0.84938,0.82817,0.28068,2.68974,0.7264,0.00167229,0.000557429,0.00167229,0.000557429,0.00167229,0.000557429,0.00167229,0.000557429
53,1482.46,0.38008,0.23317,0.74837,0.6401,0.96756,0.85167,0.82746,0.28248,2.68612,0.72749,0.00158743,0.000529143,0.00158743,0.000529143,0.00158743,0.000529143,0.00158743,0.000529143
54,1510.29,0.37828,0.23099,0.74702,0.64087,0.96954,0.84154,0.82136,0.26733,2.71789,0.7283,0.00150257,0.000500857,0.00150257,0.000500857,0.00150257,0.000500857,0.00150257,0.000500857
55,1538,0.36999,0.22909,0.74749,0.64081,0.97109,0.83831,0.81409,0.27514,2.71397,0.72642,0.00141771,0.000472571,0.00141771,0.000472571,0.00141771,0.000472571,0.00141771,0.000472571
56,1565.82,0.38006,0.2307,0.74855,0.64173,0.96873,0.8515,0.83025,0.26472,2.69604,0.72804,0.00133286,0.000444286,0.00133286,0.000444286,0.00133286,0.000444286,0.00133286,0.000444286
57,1593.94,0.3604,0.22384,0.7488,0.64207,0.96821,0.85681,0.83377,0.26775,2.73146,0.7281,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
58,1621.95,0.3727,0.22878,0.74693,0.64004,0.96484,0.85871,0.83819,0.26434,2.73339,0.72816,0.00116314,0.000387714,0.00116314,0.000387714,0.00116314,0.000387714,0.00116314,0.000387714
59,1649.89,0.37144,0.22668,0.74833,0.63833,0.96234,0.84451,0.81882,0.26885,2.70331,0.72735,0.00107829,0.000359429,0.00107829,0.000359429,0.00107829,0.000359429,0.00107829,0.000359429
60,1677.67,0.36108,0.22402,0.74736,0.64085,0.96805,0.86019,0.84102,0.25589,2.76541,0.72901,0.000993429,0.000331143,0.000993429,0.000331143,0.000993429,0.000331143,0.000993429,0.000331143
61,1710.87,0.35875,0.22107,0.7466,0.64066,0.96917,0.86739,0.8425,0.25999,2.73535,0.72799,0.000908571,0.000302857,0.000908571,0.000302857,0.000908571,0.000302857,0.000908571,0.000302857
62,1738.65,0.36123,0.22218,0.7475,0.64107,0.96699,0.86786,0.84693,0.25512,2.76695,0.72893,0.000823714,0.000274571,0.000823714,0.000274571,0.000823714,0.000274571,0.000823714,0.000274571
63,1766.54,0.34889,0.21812,0.74738,0.64152,0.96604,0.87049,0.84862,0.25927,2.74227,0.72611,0.000738857,0.000246286,0.000738857,0.000246286,0.000738857,0.000246286,0.000738857,0.000246286
64,1794.45,0.34976,0.21724,0.74647,0.63924,0.96786,0.85532,0.83361,0.25702,2.77497,0.72689,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
65,1822.63,0.35244,0.21806,0.74722,0.6407,0.97127,0.85933,0.84164,0.25332,2.76276,0.72625,0.000569143,0.000189714,0.000569143,0.000189714,0.000569143,0.000189714,0.000569143,0.000189714
66,1850.3,0.35089,0.21623,0.74597,0.64076,0.96803,0.8612,0.84179,0.25173,2.77508,0.7264,0.000484286,0.000161429,0.000484286,0.000161429,0.000484286,0.000161429,0.000484286,0.000161429
67,1877.82,0.35518,0.21672,0.74456,0.64017,0.97057,0.85655,0.83771,0.25038,2.76432,0.72558,0.000399429,0.000133143,0.000399429,0.000133143,0.000399429,0.000133143,0.000399429,0.000133143
68,1905.58,0.34744,0.21397,0.74657,0.64085,0.97135,0.85861,0.84002,0.25251,2.77985,0.72577,0.000314571,0.000104857,0.000314571,0.000104857,0.000314571,0.000104857,0.000314571,0.000104857
69,1933.53,0.34572,0.21378,0.74556,0.64054,0.97074,0.8538,0.83511,0.24831,2.77873,0.72562,0.000229714,7.65714e-05,0.000229714,7.65714e-05,0.000229714,7.65714e-05,0.000229714,7.65714e-05
70,1961.27,0.34491,0.21172,0.74613,0.63999,0.97022,0.8547,0.83416,0.25075,2.78498,0.72534,0.000144857,4.82857e-05,0.000144857,4.82857e-05,0.000144857,4.82857e-05,0.000144857,4.82857e-05
